Time XAccel YAccel ZAccel
196.115 1.720 1.880 2.440
196.389 1.640 1.960 2.440
196.670 1.720 1.960 2.520
196.943 1.720 1.960 2.440
197.216 1.720 1.880 2.440
197.491 1.720 1.880 2.440
197.764 1.720 1.880 2.440
198.039 1.720 1.880 2.440
198.312 1.640 1.960 2.440
198.586 1.640 1.880 2.520
198.860 1.640 1.960 2.520
199.133 1.640 1.880 2.520
199.408 1.720 1.960 2.440
199.681 1.640 1.960 2.600
199.956 1.640 1.960 2.600
200.236 1.640 1.960 2.600
200.510 1.640 1.960 2.600
200.783 1.640 1.960 2.600
201.057 1.640 1.960 2.520
201.331 1.640 1.960 2.520
201.605 1.640 1.960 2.600
201.879 1.640 1.960 2.520
202.153 1.640 1.880 2.440
202.427 1.720 1.880 2.520
202.701 1.720 2.040 2.520
202.974 1.640 1.960 2.440
203.248 1.720 1.960 2.440
203.522 1.720 1.960 2.440
203.796 1.640 2.040 2.440
204.076 1.640 1.960 2.360
204.351 1.720 2.040 2.360
204.624 1.720 1.960 2.360
204.899 1.640 1.960 2.360
205.172 1.640 1.880 2.360
205.446 1.640 1.960 2.440
205.720 1.720 1.960 2.360
205.993 1.720 1.960 2.440
206.268 1.640 1.960 2.520
206.541 1.640 1.960 2.360
206.815 1.880 2.040 1.560
207.089 1.720 2.280 1.960
207.363 1.720 2.440 1.800
207.644 1.800 2.520 1.800
207.926 1.800 2.520 1.800
208.200 1.880 2.600 1.800
208.474 1.720 2.600 1.720
208.748 1.720 2.520 1.720
209.022 1.800 2.520 1.720
209.296 2.520 2.440 2.120
209.570 1.720 2.440 1.880
209.843 2.120 2.440 1.960
210.128 2.040 1.880 1.640
210.401 1.960 1.960 1.720
210.676 1.960 1.800 2.440
210.949 2.120 1.720 2.840
211.224 1.720 1.640 1.640
211.504 2.040 1.960 2.120
211.778 1.720 1.560 2.360
212.051 2.040 1.960 2.520
212.326 1.640 1.960 2.360
212.599 2.120 1.400 2.440
212.873 2.040 1.800 2.120
213.147 1.800 1.800 2.200
213.420 1.800 1.880 2.280
213.695 1.720 1.880 2.600
213.968 1.720 2.040 2.760
214.243 1.720 2.120 2.680
214.516 1.800 2.200 2.680
214.790 1.880 1.880 2.600
215.071 1.800 1.720 2.120
215.344 1.880 1.560 2.200
215.618 1.960 1.720 2.280
215.892 1.880 1.800 2.440
216.166 1.800 1.800 2.600
216.440 1.800 1.800 2.600
216.713 1.720 1.880 2.760
216.988 1.720 1.960 2.840
217.261 1.720 2.040 2.920
217.536 1.640 1.960 2.920
217.809 1.720 2.040 2.920
218.083 1.640 2.040 2.920
218.357 1.720 2.040 2.840
218.630 1.640 2.040 2.840
218.911 1.720 2.040 2.920
219.185 1.640 2.040 2.920
219.468 1.640 2.040 2.920
219.741 1.640 2.040 2.920
220.016 1.640 2.040 2.920
220.289 1.640 2.040 2.840
220.564 1.640 2.040 2.840
220.837 1.640 2.040 2.840
221.112 1.640 2.040 2.840
221.385 1.640 1.960 2.920
221.658 1.640 2.040 3.000
221.933 1.720 2.040 3.000
222.206 1.720 2.040 3.000
222.487 1.560 2.040 2.840
222.761 1.560 2.040 2.600
223.035 1.560 2.040 2.680
223.309 1.560 2.040 2.680
223.582 1.640 2.120 2.680
223.857 1.800 1.880 2.760
224.130 1.880 1.720 2.840
224.405 1.880 1.720 2.760
224.678 1.800 1.800 2.760
224.952 1.880 1.880 2.920
225.226 1.720 1.880 2.920
225.499 1.640 2.040 2.840
225.774 1.640 2.040 2.840
226.065 1.640 2.040 2.840
226.338 1.640 2.040 2.920
226.612 1.560 2.040 2.760
226.886 1.640 2.040 2.920
227.159 1.560 1.960 2.920
